Link,Title,Rating,Votes,Description,Director
https://www.imdb.com/title/tt10539608/?ref_=adv_li_tt,The Midnight Sky,5.6,"75,350","This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",George Clooney
https://www.imdb.com/title/tt2226162/?ref_=adv_li_tt,Hunter Hunter,6.4,"6,342","Joseph and his family live in the remote wilderness as fur trappers, but their tranquility is threatened when they think they are being hunted by the return of a rogue wolf, and Joseph leaves them behind to track it.",Shawn Linden
https://www.imdb.com/title/tt10308928/?ref_=adv_li_tt,Force of Nature,4.5,"8,736",A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,Michael Polish
https://www.imdb.com/title/tt8508734/?ref_=adv_li_tt,His House,6.5,"31,309","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",Remi Weekes
https://www.imdb.com/title/tt12137964/?ref_=adv_li_tt,Anything for Jackson,6.3,"4,975",A bereaved Satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child but end up summoning more than they bargained for.,Justin G. Dyck
https://www.imdb.com/title/tt12592252/?ref_=adv_li_tt,Songbird,4.7,"7,217","In 2024 a pandemic ravages the world and its cities. Centering on a handful of people as they navigate the obstacles currently hindering society: disease, martial law, quarantine, and vigilantes.",Adam Mason
https://www.imdb.com/title/tt6598238/?ref_=adv_li_tt,Life in a Year,6.1,"5,957",The movie follows 17-year-old Daryn who finds out that his girlfriend is dying. He sets out to give her an entire life in the last year she has left.,Mitja Okorn
https://www.imdb.com/title/tt10229558/?ref_=adv_li_tt,The Dark and the Wicked,6.1,"11,560","On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",Bryan Bertino
https://www.imdb.com/title/tt6842770/?ref_=adv_li_tt,Wild Mountain Thyme,5.6,"4,508",A pair of star-crossed lovers in Ireland get caught up in their family's land dispute.,John Patrick Shanley
https://www.imdb.com/title/tt11456054/?ref_=adv_li_tt,Run Hide Fight,6.5,"16,408","17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",Kyle Rankin
https://www.imdb.com/title/tt13143964/?ref_=adv_li_tt,Borat Subsequent Moviefilm,6.7,"125,851","Borat returns from Kazakhstan to America and this time he reveals more about the American culture, the COVID-19 pandemic and the political elections.",Jason Woliner
https://www.imdb.com/title/tt8980602/?ref_=adv_li_tt,The Kid Detective,7.0,"11,295","A once-celebrated kid detective, now 32, continues to solve the same trivial mysteries between hangovers and bouts of self-pity. Until a naive client brings him his first 'adult' case, to find out who brutally murdered her boyfriend.",Evan Morgan
