link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
https://akcern.am/en/property/2764,Code - 32137,For sale Apartment in Yerevan,"94,000 USD",'Total area 93 m 2','Floor 1','Count of rooms 3',16.02.2021
https://akcern.am/en/property/10467,Code - 359333,For sale Apartment in Yerevan,"85,000 USD",'Total area 69 m 2','Floor 10','Count of rooms 3',16.02.2021
https://akcern.am/en/property/10483,Code - 359580,For rent Apartment in Yerevan,700 USD,'Total area 83 m 2','Floor 9','Count of rooms 3',15.02.2021
https://akcern.am/en/property/10481,Code - 259578,For rent Apartment in Yerevan,350 USD,'Total area 66 m 2','Floor 10','Count of rooms 2',15.02.2021
https://akcern.am/en/property/10456,Code - 32538,For sale Apartment in Yerevan,"120,000 USD",'Total area 91 m 2','Floor 2','Count of rooms 3',15.02.2021
https://akcern.am/en/property/10464,Code - 32647,For sale Apartment in Yerevan,"125,000 USD",'Total area 101 m 2','Floor 7','Count of rooms 3',15.02.2021
https://akcern.am/en/property/10478,Code - 859571,For sale Apartment in Yerevan,"145,000 USD",'Total area 108 m 2','Floor 10','Count of rooms 4',15.02.2021
https://akcern.am/en/property/5228,Code - 40625,For sale Apartment in Yerevan,"135,000 USD",'Total area 102 m 2','Floor 14','Count of rooms 4',15.02.2021
https://akcern.am/en/property/7595,Code - 32706,For sale Apartment in Yerevan,"132,000 USD",'Total area 98 m 2','Floor 4','Count of rooms 3',15.02.2021
https://akcern.am/en/property/10477,Code - 259569,For sale Apartment in Yerevan,"48,000 USD",'Total area 68 m 2','Floor 4','Count of rooms 2',15.02.2021
https://akcern.am/en/property/2925,Code - 32216,For sale Apartment in Yerevan,"93,000 USD",'Total area 99 m 2','Floor 4','Count of rooms 3',15.02.2021
https://akcern.am/en/property/15182,Code - 10726,For rent Apartment in Yerevan,350 USD,'Total area 41 m 2','Floor 2','Count of rooms 1',15.02.2021
https://akcern.am/en/property/7993,Code - 32729,For sale Apartment in Yerevan,"50,000 USD",'Total area 73 m 2','Floor 4','Count of rooms 3',15.02.2021
https://akcern.am/en/property/2006,Code - 31968,For sale Apartment in Yerevan,"67,000 USD",'Total area 71 m 2','Floor 3','Count of rooms 3',13.02.2021
https://akcern.am/en/property/1690,Code - 31888,For sale Apartment in Yerevan,"80,000 USD",'Total area 69 m 2','Floor 1','Count of rooms 3',13.02.2021
https://akcern.am/en/property/1619,Code - 31875,For sale Apartment in Yerevan,"100,000 USD",'Total area 74 m 2','Floor 2','Count of rooms 3',13.02.2021
https://akcern.am/en/property/6179,Code - 30849,For rent Apartment in Yerevan,900 USD,'Total area 99 m 2','Floor 2','Count of rooms 3',13.02.2021
https://akcern.am/en/property/8893,Code - 22131,For sale Apartment in Yerevan,"31,000 USD",'Total area 28 m 2','Floor 1','Count of rooms 2',13.02.2021
https://akcern.am/en/property/1365,Code - 31816,For sale Apartment in Yerevan,"380,000 USD",'Total area 170 m 2','Floor 8','Count of rooms 3',12.02.2021
https://akcern.am/en/property/7172,Code - 31582,For sale Apartment in Yerevan,"38,000 USD",'Total area 70 m 2','Floor 1','Count of rooms 3',12.02.2021
https://akcern.am/en/property/7963,Code - 40174,For rent Apartment in Yerevan,"1,400 USD",'Total area 120 m 2','Floor 9','Count of rooms 4',12.02.2021
https://akcern.am/en/property/8891,Code - 22129,For sale Apartment in Yerevan,"57,000 USD",'Total area 63 m 2','Floor 10','Count of rooms 2',12.02.2021
https://akcern.am/en/property/7564,Code - 22085,For sale Apartment in Yerevan,"130,000 USD",'Total area 67 m 2','Floor 12','Count of rooms 2',12.02.2021
